Name,Link,Artifact Number
"
",https://www.historymuseum.ca/collections/artifact/2359042/?q=Ottawa&page_num=1&item_num=31&media_irn=5418986,2359042
"
",https://www.historymuseum.ca/collections/artifact/1358195/?q=Ottawa&page_num=1&item_num=32&media_irn=3020204,1358195
"
",https://www.historymuseum.ca/collections/artifact/1321550/?q=Ottawa&page_num=1&item_num=33&media_irn=3012259,1321550
"
",https://www.historymuseum.ca/collections/artifact/1321549/?q=Ottawa&page_num=1&item_num=34&media_irn=3012257,1321549
"
",https://www.historymuseum.ca/collections/artifact/312283/?q=Ottawa&page_num=1&item_num=35&media_irn=3000898,312283
"
",https://www.historymuseum.ca/collections/artifact/2365316/?q=Ottawa&page_num=1&item_num=36&media_irn=391088,2365316
"
",https://www.historymuseum.ca/collections/artifact/2365315/?q=Ottawa&page_num=1&item_num=37&media_irn=391088,2365315
"
",https://www.historymuseum.ca/collections/artifact/2365214/?q=Ottawa&page_num=1&item_num=38&media_irn=100914,2365214
"
",https://www.historymuseum.ca/collections/artifact/2365191/?q=Ottawa&page_num=1&item_num=39&media_irn=100902,2365191
"
",https://www.historymuseum.ca/collections/artifact/2365190/?q=Ottawa&page_num=1&item_num=40&media_irn=100905,2365190
"
",https://www.historymuseum.ca/collections/artifact/2365188/?q=Ottawa&page_num=1&item_num=41&media_irn=100911,2365188
"
",https://www.historymuseum.ca/collections/artifact/2365187/?q=Ottawa&page_num=1&item_num=42&media_irn=100911,2365187
"
",https://www.historymuseum.ca/collections/artifact/2365186/?q=Ottawa&page_num=1&item_num=43&media_irn=100911,2365186
"
",https://www.historymuseum.ca/collections/artifact/2365172/?q=Ottawa&page_num=1&item_num=44&media_irn=100947,2365172
"
",https://www.historymuseum.ca/collections/artifact/2365170/?q=Ottawa&page_num=1&item_num=45&media_irn=100941,2365170
"
",https://www.historymuseum.ca/collections/artifact/2365118/?q=Ottawa&page_num=1&item_num=46&media_irn=391169,2365118
"
",https://www.historymuseum.ca/collections/artifact/2365117/?q=Ottawa&page_num=1&item_num=47&media_irn=391178,2365117
"
",https://www.historymuseum.ca/collections/artifact/2365116/?q=Ottawa&page_num=1&item_num=48&media_irn=391181,2365116
"
",https://www.historymuseum.ca/collections/artifact/2365114/?q=Ottawa&page_num=1&item_num=49&media_irn=100875,2365114
"
",https://www.historymuseum.ca/collections/artifact/2365112/?q=Ottawa&page_num=1&item_num=50&media_irn=100881,2365112
"
",https://www.historymuseum.ca/collections/artifact/2365109/?q=Ottawa&page_num=1&item_num=51&media_irn=100872,2365109
"
",https://www.historymuseum.ca/collections/artifact/2365096/?q=Ottawa&page_num=1&item_num=52&media_irn=391121,2365096
"
",https://www.historymuseum.ca/collections/artifact/2365095/?q=Ottawa&page_num=1&item_num=53&media_irn=391151,2365095
"
",https://www.historymuseum.ca/collections/artifact/2365088/?q=Ottawa&page_num=1&item_num=54&media_irn=391106,2365088
"
",https://www.historymuseum.ca/collections/artifact/2365085/?q=Ottawa&page_num=1&item_num=55&media_irn=391112,2365085
"
",https://www.historymuseum.ca/collections/artifact/2365084/?q=Ottawa&page_num=1&item_num=56&media_irn=391166,2365084
"
",https://www.historymuseum.ca/collections/artifact/2193008/?q=Ottawa&page_num=1&item_num=57&media_irn=5313161,2193008
"
",https://www.historymuseum.ca/collections/artifact/2193004/?q=Ottawa&page_num=1&item_num=58&media_irn=5313069,2193004
"
",https://www.historymuseum.ca/collections/artifact/2189075/?q=Ottawa&page_num=1&item_num=59&media_irn=5307146,2189075
"
",https://www.historymuseum.ca/collections/artifact/2189069/?q=Ottawa&page_num=1&item_num=60&media_irn=5307144,2189069
"
",https://www.historymuseum.ca/collections/artifact/197203/?q=Ottawa&page_num=1&item_num=61&media_irn=127513,197203
"
",https://www.historymuseum.ca/collections/artifact/1946311/?q=Ottawa&page_num=1&item_num=62&media_irn=5181206,1946311
"
",https://www.historymuseum.ca/collections/artifact/1946310/?q=Ottawa&page_num=1&item_num=63&media_irn=5181204,1946310
"
",https://www.historymuseum.ca/collections/artifact/1946278/?q=Ottawa&page_num=1&item_num=64&media_irn=5173474,1946278
"
",https://www.historymuseum.ca/collections/artifact/1321551/?q=Ottawa&page_num=1&item_num=65&media_irn=3012261,1321551
"
",https://www.historymuseum.ca/collections/artifact/1316387/?q=Ottawa&page_num=1&item_num=66&media_irn=5408111,1316387
"
",https://www.historymuseum.ca/collections/artifact/2388390/?q=Ottawa&page_num=1&item_num=67&media_irn=5439901,2388390
"
",https://www.historymuseum.ca/collections/artifact/213152/?q=Ottawa&page_num=1&item_num=68&media_irn=260989,213152
"
",https://www.historymuseum.ca/collections/artifact/1916157/?q=Ottawa&page_num=1&item_num=69&media_irn=3137922,1916157
"
",https://www.historymuseum.ca/collections/artifact/91482/?q=Ottawa&page_num=1&item_num=70&media_irn=5237196,91482
"
",https://www.historymuseum.ca/collections/artifact/82738/?q=Ottawa&page_num=1&item_num=71&media_irn=364965,82738
"
",https://www.historymuseum.ca/collections/artifact/2930941/?q=Ottawa&page_num=1&item_num=72&media_irn=5612335,2930941
"
",https://www.historymuseum.ca/collections/artifact/2365099/?q=Ottawa&page_num=1&item_num=73&media_irn=391115,2365099
"
",https://www.historymuseum.ca/collections/artifact/2269360/?q=Ottawa&page_num=1&item_num=74&media_irn=5368809,2269360
"
",https://www.historymuseum.ca/collections/artifact/2193007/?q=Ottawa&page_num=1&item_num=75&media_irn=5313067,2193007
"
",https://www.historymuseum.ca/collections/artifact/215540/?q=Ottawa&page_num=1&item_num=76&media_irn=164788,215540
"
",https://www.historymuseum.ca/collections/artifact/1946333/?q=Ottawa&page_num=1&item_num=77&media_irn=5181184,1946333
"
",https://www.historymuseum.ca/collections/artifact/1946317/?q=Ottawa&page_num=1&item_num=78&media_irn=5181186,1946317
"
",https://www.historymuseum.ca/collections/artifact/1946309/?q=Ottawa&page_num=1&item_num=79&media_irn=5181202,1946309
"
",https://www.historymuseum.ca/collections/artifact/1946307/?q=Ottawa&page_num=1&item_num=80&media_irn=5181208,1946307
"
",https://www.historymuseum.ca/collections/artifact/1946306/?q=Ottawa&page_num=1&item_num=81&media_irn=5181210,1946306
"
",https://www.historymuseum.ca/collections/artifact/1946305/?q=Ottawa&page_num=1&item_num=82&media_irn=5181154,1946305
